Code	Question	Original Answer	Validator Answers	
==	Each of the twenty-four tirthankara is associated with distinctive emblems, which are listed in such texts as Tiloyapannati, Kahavaali and Pravacanasaarodhara.			
VCORE-VAR	What is there a list of in the Tiloyapannati?	emblems	distinctive emblems	texts
COPMOD	What is associated with distinctive emblems?	the twenty-four tirthankara	Each of the twenty-four tirthankara	tirthankara
VMOD-CO	What text is the associate emblems listed in?	Tiloyapannati Kahavaali and Pravacanasaarodhara	Tiloyapannati, Kahavaali and Pravacanasaarodhara	Tiloyapannati, Kahavaali and Pravacanasaarodhara
VCORE	What is listed in the Tiloyapannati?	emblems	distinctive emblems	twenty-four tirthankara
==	US Ambassador to France Jane D. Hartley attended.			
APPCO	What is Jane?	Ambassador	Ambassador	US Ambassador to France
NMOD-VAR	Where is the Ambassador from?	US	US	US
==	This is bureaucracy gone wild-the Minister wants to remove the crossing because he doesn't like some pictures that people have been taking.			
VCORE-VAR	What type of system of government has gone wild ?	bureaucracy	bureaucracy	bureaucracy
VCORE-CO	Who didn't like the pictures?	the Minister	the Minister	the Minister
VCORE-CO	Who doesn't like pictures?	he	the Minister	the Minister
==	Cyclones of this level of intensity (as measured by top wind speed and central pressure value) are very, very rare.			
COPMOD	What with this level of intensity are rare?	Cyclones	Cyclones	Cyclones
DET	What level	this	this	this
NMOD	What kind of speed is it?	wind	top	top wind speed
NMOD	Which wind speed is it?	top	top wind speed	top wind speed
COPMOD-FOC	What about it is very rare?	level	this level of intensity	of this level of intensity (as measured by top wind speed and central pressure value)
COPMOD	What is very rare?	intensity	Cyclones of this level of intensity	Cyclones of this level of intensity (as measured by top wind speed and central pressure value)
==	This in turn can be made into a nisbah adjective ishtirākī 'socialist', from which an abstract noun ishtirākiyyah 'socialism' can be derived.			
APPCO-VAR	What does the noun ishtirakiyyah mean?	socialism	socialism	socialism
VCORE	What can be derived?	an abstract noun	an abstract noun	an abstract noun ishtirākiyyah 'socialism' can be derived
APPCO	What part of speech is ishtirakiyyah?	abstract noun	abstract noun	abstract noun
==	When Timur captured the Ottoman Sultan Bayezid at Ankara, he was often praised and seen as a trusted ally by European rulers such as Charles VI of France and Henry IV of England because they believed he was saving Christianity from the Turkish Empire in the Middle East.			
VCORE-VAR	Why did he earn their praise?	they believed he was saving Christianity from the Turkish Empire	they believed he was saving Christianity	they believed he was saving Christianity from the Turkish Empire in the Middle East
REL	What religion does France and England believe in?	Christianity	Christianity	Christianity
VCORE	Who did they think he was saving Christianity from	Turkish Empire	the Turkish Empire in the Middle East	Turkish Empire
VCORE-IMP	Who was Timur trusted by ?	European rulers	European rulers	European rulers
NAME	What was the Sultan's name?	Bayezid	Bayezid	Bayezid
VCORE-CO	Who believed Timur was saving Christianity?	Charles VI of France and Henry IV of England	European rulers	European rulers
VCORE	Who captured Bayezid?	Timur	Timur	Timur
==	In an interview to be aired on Sky News today, he said the housing market is the "biggest risk" to the economy and has "deep, deep structural problems".			
NCORE	What was the market a risk to?	economy	the economy	economy
VCORE-VAR	What network aired the interview about problems?	Sky News	Sky News	Sky News
